model,mae,mse,r2
Decision Tree Regressor,17655.54368348087,506011434.2880476,0.8183755379363383
ExtraTreesRegressor,14950.312344543283,354156766.9067099,0.8728812672659476
GradientBoostingRegressor,14202.455179618468,302895035.97748834,0.8912808204649216
Linear Regression,15127.154103874831,362172980.6077297,0.8700039795159513
MLP Regressor,16254.025019409097,524063208.7475456,0.8118961511017031
RandomForestRegressor,14741.406305419041,336202468.3972739,0.8793256667153293
XGBRegressor,14939.8427734375,345269440.0,0.8760712146759033
